file_name,prompt
0.png,An artwork by Van Gogh
1.png,An artwork by Van Gogh
10.png,An artwork by Van Gogh
11.png,An artwork by Van Gogh
12.png,An artwork by Van Gogh
13.png,An artwork by Van Gogh
14.png,An artwork by Van Gogh
15.png,An artwork by Van Gogh
16.png,An artwork by Van Gogh
17.png,An artwork by Van Gogh
18.png,An artwork by Van Gogh
19.png,An artwork by Van Gogh
2.png,An artwork by Van Gogh
3.png,An artwork by Van Gogh
4.png,An artwork by Van Gogh
5.png,An artwork by Van Gogh
6.png,An artwork by Van Gogh
7.png,An artwork by Van Gogh
8.png,An artwork by Van Gogh
9.png,An artwork by Van Gogh
